Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,43.355000,44.029999,42.715000,43.084999,42.783470,2872600
2018-10-12,44.320000,44.840000,44.215000,44.744999,44.431854,2440600
2018-10-15,44.904999,45.465000,44.639999,44.974998,44.660240,1378600
2018-10-16,45.169998,45.544998,45.165001,45.349998,45.032619,1142200
2018-10-17,44.945000,44.945000,43.730000,44.070000,43.761578,1800400
2018-10-18,43.915001,44.075001,43.615002,43.689999,43.384235,1227200
2018-10-19,44.270000,44.470001,43.654999,43.775002,43.468643,1559800
2018-10-22,44.439999,44.865002,44.230000,44.435001,44.124027,995000
2018-10-23,44.115002,45.990002,43.814999,45.840000,45.519192,3143200
2018-10-24,45.665001,45.750000,44.830002,44.889999,44.575840,1840000
2018-10-25,44.970001,46.000000,44.639999,45.855000,45.534084,1780000
2018-10-26,45.230000,45.840000,44.994999,45.485001,45.166676,858000
2018-10-29,44.724998,44.869999,43.720001,43.939999,43.632488,1862200
2018-10-30,44.235001,44.369999,43.639999,43.910000,43.602699,1168400
2018-10-31,44.040001,44.810001,44.040001,44.455002,44.143887,2298800
2018-11-01,44.500000,44.525002,44.130001,44.520000,44.208431,2634200
2018-11-02,45.255001,46.029999,45.084999,45.625000,45.305695,3089400
2018-11-05,45.689999,45.935001,45.035000,45.360001,45.042549,1088800
2018-11-06,45.060001,45.724998,45.025002,45.455002,45.136887,903800
2018-11-07,45.939999,46.294998,45.680000,46.139999,45.817093,1027200
2018-11-08,46.110001,46.380001,45.910000,46.080002,45.757515,1078400
2018-11-09,45.755001,46.310001,45.529999,46.025002,45.702896,1416200
2018-11-12,45.689999,45.689999,44.334999,44.820000,44.506329,1708400
2018-11-13,45.220001,46.110001,45.200001,46.070000,45.747581,2082000
2018-11-14,46.770000,47.209999,46.349998,46.744999,46.417858,1765200
2018-11-15,46.680000,47.590000,46.680000,47.560001,47.227154,1140000
2018-11-16,47.490002,48.044998,47.139999,47.669998,47.336380,1110000
2018-11-19,47.695000,48.189999,47.549999,48.014999,47.678970,1497400
2018-11-20,47.775002,48.180000,47.380001,47.400002,47.068275,1652400
2018-11-21,48.119999,48.500000,47.770000,48.130001,47.793167,1113200
2018-11-23,48.049999,48.294998,47.785000,48.169998,47.832886,662000
2018-11-26,48.595001,48.750000,48.384998,48.570000,48.230087,1242600
2018-11-27,48.680000,49.040001,48.555000,48.619999,48.279736,1401000
2018-11-28,49.125000,50.095001,49.084999,49.970001,49.620289,1640000
2018-11-29,50.564999,51.250000,50.380001,50.875000,50.518951,1892400
2018-11-30,50.830002,51.134998,50.634998,50.709999,50.355110,1542600
2018-12-03,50.735001,50.735001,49.974998,50.090000,49.739449,1613600
2018-12-04,49.735001,49.959999,49.404999,49.645000,49.297562,1810400
2018-12-06,49.564999,51.005001,49.365002,50.930000,50.573570,2806600
2018-12-07,50.334999,50.610001,49.974998,50.230000,49.878468,1674000
2018-12-10,48.965000,48.970001,47.029999,47.639999,47.306595,3310800
2018-12-11,48.355000,48.500000,47.529999,47.779999,47.445614,1810400
2018-12-12,48.950001,49.744999,48.849998,49.334999,48.989731,2669200
2018-12-13,49.544998,50.509998,49.500000,50.380001,50.027416,2372200
2018-12-14,49.794998,50.439999,49.544998,50.220001,49.868538,1569800
2018-12-17,50.595001,51.169998,50.349998,50.500000,50.146576,1625800
2018-12-18,51.235001,51.544998,51.195000,51.294998,50.936016,2247000
2018-12-19,51.325001,51.990002,51.099998,51.555000,51.194195,2579200
2018-12-20,51.930000,52.250000,51.264999,51.400002,51.040279,1622600
2018-12-21,51.055000,51.084999,50.139999,50.200001,49.848679,1535000
2018-12-24,50.090000,50.549999,49.825001,50.099998,49.749374,635200
2018-12-26,50.514999,51.264999,50.514999,50.994999,50.638111,1283000
2018-12-27,50.395000,51.224998,50.380001,51.130001,50.772171,1601800
2018-12-28,51.200001,52.005001,51.000000,51.570000,51.209087,1037400
2018-12-31,51.794998,51.889999,51.005001,51.794998,51.432514,1112200
2019-01-02,51.384998,51.924999,51.384998,51.834999,51.472233,824400
2019-01-03,51.060001,51.285000,50.794998,50.910000,50.553711,948000
2019-01-04,51.195000,51.974998,51.139999,51.790001,51.427551,1104600
2019-01-07,51.540001,51.705002,51.185001,51.525002,51.164406,1117800
2019-01-08,51.174999,52.049999,51.055000,51.904999,51.541744,1693400
2019-01-09,51.855000,51.915001,51.154999,51.450001,51.089931,1895400
2019-01-10,51.360001,51.459999,51.005001,51.340000,50.980698,797200
2019-01-11,51.060001,51.474998,51.005001,51.320000,50.960838,704800
2019-01-14,50.930000,50.930000,50.404999,50.430000,50.077068,1183200
2019-01-15,50.709999,51.134998,50.669998,51.134998,50.777134,1132600
2019-01-16,51.020000,51.555000,50.740002,51.099998,50.742378,1254400
2019-01-17,51.115002,51.535000,51.055000,51.435001,51.075039,1009800
2019-01-18,51.384998,51.709999,51.189999,51.674999,51.313354,1236000
2019-01-22,51.299999,51.599998,50.665001,50.959999,50.603359,1779200
2019-01-23,50.849998,50.930000,50.134998,50.185001,49.833786,1572600
2019-01-24,50.220001,50.340000,49.590000,49.625000,49.277702,3368000
2019-01-25,49.924999,50.099998,49.505001,49.570000,49.223087,1468800
2019-01-28,49.505001,49.505001,48.974998,49.080002,48.736515,1351600
2019-01-29,48.799999,48.900002,48.040001,48.250000,47.912327,1693600
2019-01-30,48.205002,48.205002,47.250000,47.869999,47.534981,2743400
2019-01-31,48.410000,49.365002,48.275002,49.110001,48.766304,1864600
2019-02-01,49.080002,49.660000,48.970001,49.529999,49.183369,1463200
2019-02-04,49.485001,49.595001,48.974998,49.529999,49.183369,1099200
2019-02-05,49.785000,49.994999,49.509998,49.919998,49.570637,817600
2019-02-06,49.985001,50.285000,49.764999,50.130001,49.779167,674600
2019-02-07,50.044998,50.384998,50.029999,50.294998,49.943012,1649000
2019-02-08,50.224998,50.525002,50.009998,50.145000,49.794064,767800
2019-02-11,50.535000,51.049999,50.150002,50.275002,49.923157,1024200
2019-02-12,50.849998,51.040001,50.724998,50.994999,50.638111,1449000
2019-02-13,50.865002,50.865002,50.345001,50.695000,50.340214,1376400
2019-02-14,50.110001,50.369999,50.020000,50.115002,49.764275,1405400
2019-02-15,49.895000,50.185001,49.494999,50.090000,49.739449,1558400
2019-02-19,49.619999,49.735001,49.029999,49.169998,48.825882,2082800
2019-02-20,49.665001,49.950001,49.570000,49.825001,49.476303,1705800
2019-02-21,49.834999,50.259998,49.715000,50.040001,49.689796,879600
2019-02-22,49.895000,50.325001,49.750000,50.119999,49.769238,1178400
2019-02-25,50.270000,51.209999,50.270000,50.935001,50.578533,1121800
2019-02-26,50.349998,50.615002,50.080002,50.410000,50.057205,970400
2019-02-27,49.970001,50.235001,49.549999,50.169998,49.818886,845800
2019-02-28,50.130001,50.810001,50.049999,50.560001,50.206161,1924600
2019-03-01,50.279999,50.485001,49.799999,50.220001,49.868538,1525000
2019-03-04,50.025002,50.244999,49.775002,50.220001,49.868538,1175800
2019-03-05,50.580002,51.330002,50.580002,51.189999,50.831749,1227000
2019-03-06,51.154999,51.639999,50.810001,51.490002,51.129650,2458600
2019-03-07,51.709999,51.709999,51.285000,51.375000,51.015457,1037400
2019-03-08,51.555000,52.064999,51.555000,51.990002,51.626152,1188600
2019-03-11,52.340000,53.224998,52.340000,53.125000,52.753208,2327800
2019-03-12,53.465000,54.115002,53.389999,53.955002,53.577400,1696600
2019-03-13,54.549999,55.430000,54.500000,55.220001,54.833546,1881200
2019-03-14,54.955002,55.259998,54.860001,55.224998,54.838509,1151400
2019-03-15,55.625000,56.279999,55.625000,55.990002,55.598160,1367400
2019-03-18,56.365002,56.945000,56.279999,56.764999,56.367733,1180200
2019-03-19,56.849998,56.919998,56.189999,56.250000,55.856339,1409800
2019-03-20,56.950001,57.419998,56.834999,56.990002,56.591160,1547400
2019-03-21,56.805000,57.174999,56.709999,56.919998,56.521648,906400
2019-03-22,56.470001,56.630001,56.119999,56.160000,55.766968,1094600
2019-03-25,56.459999,56.669998,55.945000,56.084999,55.692493,1583400
2019-03-26,56.950001,57.580002,56.945000,57.474998,57.072765,1209400
2019-03-27,57.125000,57.139999,56.555000,57.105000,56.705353,1131600
2019-03-28,56.955002,57.130001,56.779999,56.814999,56.417381,851000
2019-03-29,57.200001,57.955002,57.064999,57.955002,57.549408,1749400
2019-04-01,58.080002,58.125000,57.099998,57.650002,57.246540,984800
